title,price,area,property_url,page_number,property_index,scraped_at,posting_date_text,parsed_posting_date,is_premium,premium_type,premium_indicators,bathrooms,balcony,property_type,furnishing,floor_details,locality,society,status,facing,parking,ownership,transaction,overlooking,photo_count,owner_name,contact_options,description,carpet_area,builtup_area,super_area,plot_area,min_price,max_price,is_price_range,data_quality_score,validation_issues,is_valid
2 BHK Apartment for Sale in Sector 92 Gurgaon,1.20 Cr,1010 sqft,https://www.magicbricks.com/signature-global-city-92-phase-2-sector-92-gurgaon-pdpid-4d4235333932333135,1,1,2025-10-02 18:53:24.705898,Updated today,2025-10-02 12:00:00.000000,True,premium,['text_premium'],2,2,2 BHK,Semi-Furnished,4 out of 4,Sector 92,Signature Global City 92 Phase 2,Under Construction,East,,Freehold,Resale,Garden/Park,1Photo,Owner: deepti,"Contact Owner, Get Phone No.","A 2 BHK flat is available for sale in Sector 92, Gurgaon. This unit forms part of Signature Global City 92 Phase 2 which is 2 years old. This flat for resale is an attractive property. This apartment in one of the significant areas of Sector 92 is under construction, and can be purchased at the price of ₹1.20 Cr. Jun '26 is the possession date of this apartment. The flat is semi-furnished and comes with all basic facilities. The property is on 4 floor and has covered area 1010 sqft. The flat con",,,1010 sqft,,,,False,87.9,[],True
2 BHK Apartment for Sale in Sector 36 Gurgaon,60 Lac,531 sqft,https://www.magicbricks.com/signature-global-sco-36-sohna-sector-36-gurgaon-pdpid-4d4235333333333239,1,2,2025-10-02 18:53:24.711059,Updated today,2025-10-02 12:00:00.000000,False,standard,[],2,2,2 BHK,Furnished,Ground out of 12,Sector 36,Signature Global SCO 36 Sohna,Ready to Move,North - West,,,Resale,"Garden/Park, Main Road",11+Photos,Owner: Manjeet,"Contact Owner, Get Phone No.",2 BHK Apartment for Sale in Sector 36 Gurgaon. Priced at ₹60 Lac. Area: 531 sqft. Status: Ready to Move. Located in Sector 36. Project: Signature Global SCO 36 Sohna,531 sqft,,,,,,False,78.8,[],True
3 BHK Apartment for Sale in Sector 71 Gurgaon,3.95 Cr,1356 sqft,https://www.magicbricks.com/pyramid-alban-sector-71-gurgaon-pdpid-4d4235343230393635,1,3,2025-10-02 18:53:24.718704,Updated today,2025-10-02 12:00:00.000000,True,premium,['text_premium'],4,2,3 BHK,Semi-Furnished,33 out of 40,Sector 71,Pyramid Alban,Under Construction,West,1 Covered,Freehold,Resale,Garden/Park,5+Photos,Owner: ravinder sharma,"Contact Owner, Get Phone No.","This well maintained 3 BHK residence is currently offered for sale in Sector 71, Gurgaon. The flat is housed in Pyramid Alban, a 1 years old construction. This 3 BHK apartment comes with 1 covered parking space for your vehicle. You can immediately purchase this apartment available for resale. Available at price of ₹3.95 Cr, this under construction flat in Sector 71 is an excellent choice. The date of possession of the flat stands at Dec '29. This apartment for sale is semi-furnished. The unit i",1356 sqft,,,,,,False,90.9,[],True
2 BHK House for Sale in Maruti Kunj Gurgaon,25.5 Lac,680 sqft,https://www.magicbricks.com/propertyDetails/2-BHK-720-Sq-ft-Residential-House-FOR-Sale-Maruti-Kunj-in-Gurgaon&id=4d423533393638333337,1,4,2025-10-02 18:53:24.727546,Updated today,2025-10-02 12:00:00.000000,False,standard,[],2,1,2 BHK,Semi-Furnished,,Maruti Kunj,,Ready to Move,,,,Resale,,5+Photos,Owner: Jitender,"Contact Owner, Get Phone No.","If you are searching for a perfect home for your family, this 2 BHK independent house for sale in Maruti Kunj, Gurgaon can be a perfect choice. You can buy this ready to move house in Maruti Kunj at price of ₹25.5 Lac. To buy this 2 BHK house on sale, visit it at Maruti Kunj, Gurgaon, Delhi NCR.View Property",680 sqft,,,,,,False,66.7,[],True
Plot/Land for Sale in Sohna Gurgaon,12 Lac,900 sqft,https://www.magicbricks.com/propertyDetails/900-Sq-ft-Residential-Plot-FOR-Sale-Sohna-in-Gurgaon&id=4d423731383437383737,1,5,2025-10-02 18:53:24.736251,Updated today,2025-10-02 12:00:00.000000,False,standard,[],,,Plot,,4,Sohna,,Resale,10 m,,Freehold,Resale,Main Road,1Photo,Owner: shiv kumar 1,"Contact Owner, Get Phone No.","Grab the chance to possess your chosen plot in Sohna, priced at ₹12 Lac. The plot comes with dimensions of 30 X 15 and covers 900.0. You can secure this residential plot today by making a booking with just Rs 5100. The potential of constructing up to 4 floors is available for the residential plot. The plot offers an unobstructed view of the main road adding to its value. With near- indri court, at govt. polytechnic collage nearby, this residential plot enjoys a well-connected address. It faces a",,,,900 sqft,,,False,69.7,[],True
Studio Apartment for Sale in Sector 70 Gurgaon,38 Lac,240 sqft,https://www.magicbricks.com/gpl-eden-heights-sector-70-gurgaon-pdpid-4d4235303030393139,1,6,2025-10-02 18:53:24.742041,Updated today,2025-10-02 12:00:00.000000,False,standard,[],1,1,Studio,Furnished,1 out of 4,Sector 70,Gpl Eden Heights,Ready to Move,North - East,,Freehold,Resale,Main Road,3+Photos,Owner: Deepak,"Contact Owner, Get Phone No.","The flat has a prime location within Gpl Eden Heights. This flat for resale is a great choice for you. Costing ₹38 Lac, this ready to move apartment in Sector 70 is a great buy. This furnished apartment for sale is strategically designed. This property sits on 1 floor with a total carpet area of 240 sqft. Flat is fitted with security, ro water system.View Property",240 sqft,,,,,,False,81.8,[],True
3 BHK Apartment for Sale in Sector 67 Gurgaon,1.60 Cr,1500 sqft,https://www.magicbricks.com/ansal-api-esencia-sector-67-gurgaon-pdpid-4d4235303136353038,1,7,2025-10-02 18:53:24.747517,Updated today,2025-10-02 12:00:00.000000,True,premium,['text_premium'],3,3,3 BHK,Semi-Furnished,2 out of 3,Sector 67,Ansal API Esencia,Ready to Move,North - East,,Freehold,Resale,Garden/Park,12+Photos,Owner: Vkj,"Contact Owner, Get Phone No.","Full terrace rights. Beautiful modern 3bhk with full terrace and balconiesA well-positioned 3 BHK flat in Sector 67, Gurgaon. Located in Ansal Api Esencia, this flat is equipped with premium facilities. This apartment for resale is a great choice. Costing ₹1.60 Cr, this ready to move apartment in Sector 67 is a great buy. It is a semi-furnished apartment for sale. The flat is near to golf course road extension. Located on 2 floor, this apartment offers covered area of 1500 sqft. This property is",,,1500 sqft,,,,False,87.9,[],True
3 BHK Apartment for Sale in Sector 32 Sohna Gurgaon,1.70 Cr,1274 sqft,https://www.magicbricks.com/central-park-flower-valley-flamingo-floor-sohna-sector-32-gurgaon-pdpid-4d4235303939333233,1,8,2025-10-02 18:53:24.752581,Updated today,2025-10-02 12:00:00.000000,True,premium,['text_premium'],2,,3 BHK,Semi-Furnished,1 out of 3,Sector 32 Sohna,Central Park Flower Valley Flamingo Floor,Ready to Move,,1 Open,,Resale,Main Road,18+Photos,Owner: Jyoti Sharma,"Contact Owner, Get Phone No.",3 BHK Apartment for Sale in Sector 32 Sohna Gurgaon. Priced at ₹1.70 Cr. Area: 1274 sqft. Status: Ready to Move. Located in Sector 32 Sohna. Project: Central Park Flower Valley Flamingo Floor,,,1274 sqft,,,,False,81.8,[],True
3 BHK Apartment for Sale in Sector 103 Gurgaon,1.49 Cr,1762 sqft,https://www.magicbricks.com/propertyDetails/3-BHK-1762-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-103-in-Gurgaon&id=4d423831363034323431,1,9,2025-10-02 18:53:24.759215,Posted: Yesterday,2025-10-01 12:00:00.000000,False,standard,[],3,3,3 BHK,Unfurnished,15 out of 17,Sector 103,BHK Apartment for Sale in,Ready to Move,East,,Freehold,New Property,Garden/Park,4+Photos,Owner: Ashok Kumar,"Contact Owner, Get Phone No.","You can find this 3 BHK flat for sale in Sector 103, Gurgaon. You can immediately purchase this apartment available for sale. Located in Sector 103, this ready to move apartment is sold at price of ₹1.49 Cr. The flat is available in unfurnished state. This property sits on 15 floor with a total covered area of 1762 sqft. This unit comes equipped with power back up, reserved parking, security, service/goods lift, visitor parking.View Property",,,1762 sqft,,,,False,81.8,[],True
2 BHK Apartment for Sale in Sector 36 Gurgaon,95 Lac,951 sqft,https://www.magicbricks.com/signature-global-sco-36-sohna-sector-36-gurgaon-pdpid-4d4235333333333239,1,10,2025-10-02 18:53:24.763541,Posted: Yesterday,2025-10-01 12:00:00.000000,False,standard,[],2,,2 BHK,Unfurnished,2 out of 4,Sector 36,Signature Global SCO 36 Sohna,Ready to Move,,,,Resale,,5+Photos,Owner: geetika Malhotra,"Contact Owner, Get Phone No.",2 BHK Apartment for Sale in Sector 36 Gurgaon. Priced at ₹95 Lac. Area: 951 sqft. Status: Ready to Move. Located in Sector 36. Project: Signature Global SCO 36 Sohna,951 sqft,,,,,,False,69.7,[],True
